model,quant,arc_chat,arc_chat_stderr,bfcl_accuracy,bfcl_all,bfcl_all2,bfcl_exec_multiple_acc,bfcl_exec_multiple_sterr,bfcl_exec_parallel_acc,bfcl_exec_parallel_multiple_acc,bfcl_exec_parallel_multiple_sterr,bfcl_exec_parallel_sterr,bfcl_exec_simple_acc,bfcl_exec_simple_sterr,bfcl_irrelevance_acc,bfcl_irrelevance_sterr,bfcl_live_irrelevance_acc,bfcl_live_irrelevance_sterr,bfcl_live_multiple_acc,bfcl_live_multiple_sterr,bfcl_live_parallel_acc,bfcl_live_parallel_multiple_acc,bfcl_live_parallel_multiple_sterr,bfcl_live_parallel_sterr,bfcl_live_relevance_acc,bfcl_live_relevance_sterr,bfcl_live_simple_acc,bfcl_live_simple_sterr,bfcl_multi_turn_base_acc,bfcl_multi_turn_base_sterr,bfcl_multi_turn_composite_acc,bfcl_multi_turn_composite_sterr,bfcl_multi_turn_long_context_acc,bfcl_multi_turn_long_context_sterr,bfcl_multi_turn_miss_func_acc,bfcl_multi_turn_miss_func_sterr,bfcl_multi_turn_miss_param_acc,bfcl_multi_turn_miss_param_sterr,bfcl_multiple_acc,bfcl_multiple_sterr,bfcl_parallel_acc,bfcl_parallel_multiple_acc,bfcl_parallel_multiple_sterr,bfcl_parallel_sterr,bfcl_simple_java_acc,bfcl_simple_java_sterr,bfcl_simple_javascript_acc,bfcl_simple_javascript_sterr,bfcl_simple_python_acc,bfcl_simple_python_sterr,bfcl_sql_acc,bfcl_sql_sterr,bfcl_stderr,bfcl_total_samples,bigcodebench_mean,bigcodebench_std,bigcodebench_total_samples,eval_time_seconds,gsm8k_flexible,gsm8k_flexible_stderr,gsm8k_strict,gsm8k_strict_stderr,humaneval_pass@1,humaneval_pass@1_stderr,humaneval_plus_pass@1,humaneval_plus_pass@1_stderr,ifeval_inst_loose,ifeval_inst_loose_stderr,ifeval_inst_strict,ifeval_inst_strict_stderr,ifeval_prompt_loose,ifeval_prompt_loose_stderr,ifeval_prompt_strict,ifeval_prompt_strict_stderr,musr_accuracy,musr_stderr,musr_total_samples,total_samples
Ornith-1.0-9B,BF16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.507895,0.500157,1140,2458.0,,,,,,,,,,,,,,,,,0.64,0.030419,250,250
Ornith-1.0-9B,Q4_K_M,,,0.660063,0.660063,0.015304,0.875,0.085391,0.722222,0.333333,0.210819,0.108632,0.857143,0.078246,0.708333,0.0663,0.666667,0.034381,0.70297,0.032231,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.714286,0.065205,0.456522,0.074253,0.045455,0.045455,0.46875,0.089627,0.166667,0.062994,0.5,0.084515,0.974359,0.025641,0.785714,0.844444,0.054639,0.078967,0.47619,0.111677,0.25,0.163663,0.985507,0.014493,0.125,0.085391,0.015304,1000,0.492105,0.500157,1140,6246.0,,,,,,,,,,,,,,,,,0.604,0.030993,250,1000
Ornith-1.0-9B,Q5_K_M,,,0.662176,0.662176,0.015233,0.875,0.085391,0.777778,0.333333,0.210819,0.100832,0.904762,0.065638,0.770833,0.061307,0.772487,0.030575,0.69802,0.032384,0.75,0.6,0.244949,0.25,0.666667,0.333333,0.693878,0.066522,0.413043,0.0734,0.0,0.0,0.363636,0.085038,0.088235,0.049375,0.447368,0.081743,0.923077,0.043227,0.678571,0.866667,0.051247,0.089879,0.428571,0.110657,0.125,0.125,0.971014,0.020345,0.125,0.085391,0.015233,1000,0.486842,0.500046,1140,6140.0,,,,,,,,,,,,,,,,,0.624,0.030696,250,1000
Ornith-1.0-9B,Q6_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479825,0.499812,1140,1337.0,,,,,,,,,,,,,,,,,0.576,0.031318,250,250
Ornith-1.0-9B,Q8_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.490351,0.500126,1140,1471.0,,,,,,,,,,,,,,,,,0.608,0.030938,250,250
Qwen3.5-4B,BF16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.476095,,911.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,IQ4_NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.482418,,1045.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,IQ4_XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.482418,,742.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q3_K_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.482418,,1010.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q3_K_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.456048,,2205.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q4_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.479372,,1083.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q4_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.476095,,430.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q4_K_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.49757,,741.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q4_K_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.446196,,735.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q5_K_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.487832,,462.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q5_K_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.494311,,492.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q6_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.487832,,530.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,Q8_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.490207,,715.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-IQ2_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.377525,,1662.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-IQ2_XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,6967.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-IQ3_XXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.416333,,3579.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-Q2_K_XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.429235,,3436.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-Q3_K_XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.479372,,621.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-Q4_K_XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.490207,,757.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-Q5_K_XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.494311,,871.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-Q6_K_XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.492366,,829.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-4B,UD-Q8_K_XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.485237,,1102.0,,,,,,,,,,,,,,,,,,,,100
Qwen3.5-9B,IQ4_NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485088,0.499997,1140,5042.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,IQ4_XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457018,0.498368,1140,5069.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q3_K_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434211,0.49587,1140,7154.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q3_K_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37193,0.483532,1140,8887.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q4_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451754,0.497885,1140,5839.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q4_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485965,0.500022,1140,5599.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q4_K_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478947,0.499776,1140,5907.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q4_K_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488596,0.500089,1140,5484.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q5_K_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.480702,0.499847,1140,6172.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q5_K_S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483333,0.499941,1140,6307.0,,,,,,,,,,,,,,,,,,,,1140
Qwen3.5-9B,Q6_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482456,0.499911,1140,6499.0,,,,,,,,,,,,,,,,,,,,1140
